"text","user:screen_name"
"Recent pic of @Suriya_offl with dancer without WM.

#Suriya37 @Suriya37_Movie https://t.co/uh2nN6xmml","singamgroup8"
"will wendy actually talk about herself during her broadcasts 👀👀","samfel26"
"@alisonpool_ @arielandavi Mood","foreverteph15"
"Torrential rain on the way back to the airport, so thankful we’ve had sunny weather all weekend though☀️","Mini_Murs"
"sams been laughing on FaceTime at her own joke for the past 5 minutes and if that ain’t me I don’t know what is","katie_skea"
"RT @duarianamila: “wish i could say thank you to malcolm, ‘cause he was an angel” https://t.co/pSSpiAn8ex","InannaLewis"
"@OMGno2trump I saw the same one on nbc during football game. If I didn’t know better, it would scare me into voting for them.","Gladiatrix2017"
"RT @LeratoNtshieng: When are we getting a real African name for our country like Ghana, Uganda and Mozambique 

South Africa just ain't cut…","twicenice_"
"RT @parkjiminpics: this was one of the cutest jimin moments he was so happy spending time in busan with his family 💗 @bts_twt https://t.co/…","farishaa_nad"
"I liked a @YouTube video https://t.co/7C7lXIn9bl The Myth of Sisyphus by Albert Camus","EnnuiThe"
"RT @akutagatsushi: we have beef https://t.co/Bn46virn0x","rcsesof"
"Santorum is clueless  as ever https://t.co/jr4l101dlq","TripleJoker"
"#Happy birthday virat my bro","arshitgohel"
"RT @EthanDolan: I just realized that when I’m alone... I talk to myself A LOT?! Wtf kinda worried","econnors835"
"RT @LegendaryHassan: when you're mad at your girl but she still ask you for sex. https://t.co/o9J5RRhpdO","kyatt_bailey"
"@iam_udit_t As checked, the order ORD099193522 has been placed. scheduled to be delivered tomorrow between 4 PM-7 P… https://t.co/lHjx14BmPs","Grofers"
"RT @unseenhugots: Stay positive. Good things will happen.","elsa_anagweezzz"
"RT @beneltham: It’s almost as though he doesn’t have a day job  https://t.co/XmayHL7QFl","brisbane_parent"
"Like a moth to a flame, I can’t stay away🔥🦋💙","AmberShantel_"
"RT @swagmoneyeileen: I’m being annoying on all of my social media but help me find Luna! She’s possibly around the adelanto area. She shoul…","heyuhhitsethan"
"RT @FatounaNevzi: @exquisite_s17 @StoryBakani well guess the old sara is alwayse there 
For the Hairstrand  toooo hjhhkhkhh

#mutluyillarca…","Alis24416223"
"RT @Theswagboyq: Me: DONT LOOK! but it’s that person over there. DONT LOOK!

Friend: https://t.co/Ylp5eQtS11","_itsmebri_"
"@FNBRLeaks @DavidCh86174279 Still was recent but I feel you","__n3ar__"
"cry baby","JSydneyDS"
"Aaron Rodgers can’t do this by him it’s frustrating","andrezzy_"
"RT @exokiss88: Dont forget to rate 5 stars ⭐️⭐️⭐️⭐️⭐️ and click like ❤️ for EXO DMUMT album 💪🏻😎🏍🔥

#EXO⁠ ⁠⁠ ⁠ #weareoneEXO⁠ ⁠⁠ ⁠ #EXO_TEMPO…","OhSHBH_"
"RT @LiamPayne: @Louis_Tomlinson Thanks man 🙌🏼that means the world","Leneeibk"
"RT @chuntichino_: “We’re going to eat” https://t.co/qi0w4RrlXw","_NoellaCarolina"
"RT @linbea945: Local food...recall childhood memories. 😄 https://t.co/XuEgRwvagk","jackjackjae825"
"RT @cmvkoi: Okay honestly .... I need some fucken cuddles rn","kvrstenn"
"@adashtra If you want playable black women in a competitive game, try Rainbow Six Siege. Newest expansion comes wit… https://t.co/qvE3nNEIA7","keoKe_mrw"
